tag,patterns,responses,suggestions
medical_field_nav,"Become a Doctor or Healthcare Professional|Medical|healthcare","1️⃣ NEET Required Medical Courses  
2️⃣ Medical / Healthcare Courses (Usually Without NEET)  
3️⃣ Allied Health Science / Paramedical Degree Courses (3–4 Years)  
4️⃣ Diploma Medical Courses (2–3 Years)",NEET Required Medical Courses|Medical / Healthcare Courses|Allied Health Science / Paramedical|Diploma Medical Courses
neet_required_medical,"NEET Required Medical Courses","• MBBS (Bachelor of Medicine and Bachelor of Surgery) 🩺  
• BDS (Bachelor of Dental Surgery) 🦷  
• BAMS (Bachelor of Ayurvedic Medicine and Surgery) 🌿  
• BHMS (Bachelor of Homeopathic Medicine and Surgery) 💊  
• BUMS (Bachelor of Unani Medicine and Surgery) 🌱  
• BSMS (Bachelor of Siddha Medicine and Surgery) 🌿  
• B.V.Sc & AH (Bachelor of Veterinary Science and Animal Husbandry) 🐄  
• BPT (Bachelor of Physiotherapy) 🦴",MBBS (Bachelor of Medicine and Bachelor of Surgery) 🩺|BDS (Bachelor of Dental Surgery) 🦷|BAMS (Bachelor of Ayurvedic Medicine and Surgery) 🌿|BHMS (Bachelor of Homeopathic Medicine and Surgery) 💊|BUMS (Bachelor of Unani Medicine and Surgery) 🌱|BSMS (Bachelor of Siddha Medicine and Surgery) 🌿|B.V.Sc & AH (Bachelor of Veterinary Science and Animal Husbandry) 🐄|BPT (Bachelor of Physiotherapy) 🦴
btech_mbbs,"MBBS (Bachelor of Medicine and Bachelor of Surgery) 🩺|MBBS","1️⃣ **MBBS (Bachelor of Medicine and Bachelor of Surgery)** 🩺

2️⃣ **Course Overview**
MBBS (Bachelor of Medicine and Bachelor of Surgery) is a 5.5-year undergraduate medical degree that trains students to become professional doctors.

The course focuses on human anatomy, diseases, diagnosis, treatment, surgery, and patient care. After completing MBBS, graduates can work as medical doctors in hospitals, clinics, and healthcare institutions.

3️⃣ **Eligibility (12th Percentage Required)**
| Requirement | Details |
|---|---|
| Qualification | 12th Pass |
| Stream | Science (PCB – Physics, Chemistry, Biology) |
| Minimum Percentage | Usually 50% – 60% |
| Required Subjects | Physics, Chemistry, Biology |
| Entrance Exam | National Eligibility cum Entrance Test (NEET) |

4️⃣ **Course Duration**
| Course | Duration |
|---|---|
| MBBS | 5.5 Years |
| Internship | 1 Year (included in course) |

5️⃣ **Subjects / What You Will Study**
**Year 1**
• Human Anatomy  
• Physiology  
• Biochemistry  

**Year 2**
• Pathology  
• Pharmacology  
• Microbiology  
• Forensic Medicine  

**Year 3**
• Community Medicine  
• ENT (Ear, Nose, Throat)  
• Ophthalmology  

**Final Year**
• General Medicine  
• General Surgery  
• Obstetrics and Gynecology  
• Pediatrics  
• Orthopedics  

6️⃣ **Skills You Will Develop**
• Disease diagnosis and treatment  
• Patient care and medical ethics  
• Surgical and clinical skills  
• Medical research knowledge  
• Communication with patients  

7️⃣ **Top Colleges in Tamil Nadu**
• Madras Medical College  
• Stanley Medical College  
• Christian Medical College Vellore  
• Sri Ramachandra Institute of Higher Education and Research  
• Kilpauk Medical College  

8️⃣ **Career Opportunities**
| Career | Description |
|---|---|
| Medical Doctor | Treating patients in hospitals |
| Surgeon | Performing surgical procedures |
| General Physician | Diagnosing and treating diseases |
| Medical Researcher | Conducting medical research |
| Hospital Administrator | Managing healthcare services |

9️⃣ **Higher Studies Options**
• MD (Doctor of Medicine)  
• MS (Master of Surgery)  
• PG Diploma in Medical Specializations  
• Hospital Administration (MBA)  
• PhD in Medical Sciences  

🔟 **Summary**
MBBS is the most popular medical degree for students who want to become doctors. After completing MBBS and specialization, graduates can work in hospitals, clinics, research centers, or start their own medical practice.",NEET Required Medical Courses|Become a Doctor or Healthcare Professional|Courses
btech_bds,"BDS (Bachelor of Dental Surgery) 🦷|BDS","1️⃣ **BDS (Bachelor of Dental Surgery)** 🦷

2️⃣ **Course Overview**
BDS (Bachelor of Dental Surgery) is a 5-year undergraduate dental course that focuses on oral health, dental surgery, teeth problems, and dental care.

Students learn about dental anatomy, oral diseases, dental surgery, orthodontics, and dental treatments used to treat teeth and gum problems.

3️⃣ **Eligibility (12th Percentage Required)**
| Requirement | Details |
|---|---|
| Qualification | 12th Pass |
| Stream | Science (PCB – Physics, Chemistry, Biology) |
| Minimum Percentage | Usually 50% – 60% |
| Required Subjects | Physics, Chemistry, Biology |
| Entrance Exam | National Eligibility cum Entrance Test (NEET) |

4️⃣ **Course Duration**
| Course | Duration |
|---|---|
| BDS | 5 Years |
| Internship | 1 Year (included) |

5️⃣ **Subjects / What You Will Study**
**Year 1**
• General Anatomy  
• Physiology  
• Biochemistry  
• Dental Anatomy  

**Year 2**
• Dental Materials  
• Pharmacology  
• Microbiology  
• Pathology  

**Year 3**
• General Medicine  
• General Surgery  
• Oral Pathology  

**Final Year**
• Oral Surgery  
• Orthodontics  
• Prosthodontics  
• Periodontics  
• Conservative Dentistry  

6️⃣ **Skills You Will Develop**
• Dental diagnosis and treatment  
• Tooth extraction and dental surgery  
• Oral disease prevention  
• Patient communication  
• Dental clinic management  

7️⃣ **Top Colleges in Tamil Nadu**
• Tamil Nadu Government Dental College and Hospital  
• Sri Ramachandra Institute of Higher Education and Research  
• SRM Dental College  
• Saveetha Dental College  

8️⃣ **Career Opportunities**
| Career | Description |
|---|---|
| Dentist | Treating teeth and oral problems |
| Orthodontist | Correcting teeth alignment |
| Oral Surgeon | Performing dental surgeries |
| Dental Consultant | Working in dental hospitals |
| Dental Researcher | Research in oral health |

9️⃣ **Higher Studies Options**
• MDS (Master of Dental Surgery)  
• MBA Hospital Management  
• PhD Dental Sciences  

🔟 **Summary**
BDS is the main dental degree for students interested in oral healthcare and dental surgery. Graduates work as dentists in hospitals, dental clinics, or start their own dental practice.",NEET Required Medical Courses|Become a Doctor or Healthcare Professional|Courses
btech_bams,"BAMS (Bachelor of Ayurvedic Medicine and Surgery) 🌿|BAMS","1️⃣ **BAMS (Bachelor of Ayurvedic Medicine and Surgery)** 🌿

2️⃣ **Course Overview**
BAMS (Bachelor of Ayurvedic Medicine and Surgery) is a 5.5-year undergraduate medical course that focuses on Ayurveda, the traditional Indian system of medicine.

Students learn about herbal medicine, natural treatments, body balance (doshas), and Ayurvedic therapies used for treating diseases.

3️⃣ **Eligibility (12th Percentage Required)**
| Requirement | Details |
|---|---|
| Qualification | 12th Pass |
| Stream | Science (PCB – Physics, Chemistry, Biology) |
| Minimum Percentage | Usually 50% – 60% |
| Required Subjects | Physics, Chemistry, Biology |
| Entrance Exam | National Eligibility cum Entrance Test (NEET) |

4️⃣ **Course Duration**
| Course | Duration |
|---|---|
| BAMS | 5.5 Years |
| Internship | 1 Year (included) |

5️⃣ **Subjects / What You Will Study**
**Year 1**
• Sanskrit and Ayurveda Basics  
• Anatomy (Sharira Rachana)  
• Physiology (Sharira Kriya)  
• Ayurvedic Philosophy  

**Year 2**
• Dravyaguna (Medicinal Plants)  
• Pharmacology  
• Pathology  
• Toxicology  

**Year 3**
• General Medicine (Kayachikitsa)  
• Surgery (Shalya Tantra)  
• ENT and Eye Diseases  
• Pediatrics  

**Final Year**
• Panchakarma Therapy  
• Ayurvedic Diagnosis  
• Herbal Medicine Preparation  
• Clinical Training  

6️⃣ **Skills You Will Develop**
• Ayurvedic diagnosis and treatment  
• Herbal medicine preparation  
• Natural therapy techniques  
• Patient care and counseling  
• Holistic healthcare knowledge  

7️⃣ **Top Colleges in Tamil Nadu**
• Government Ayurveda Medical College Nagercoil  
• Sri Sairam Ayurveda Medical College  
• Sri Jayendra Saraswathi Ayurveda College  

8️⃣ **Career Opportunities**
| Career | Description |
|---|---|
| Ayurvedic Doctor | Treating patients using Ayurveda |
| Herbal Medicine Specialist | Developing herbal medicines |
| Panchakarma Therapist | Performing Ayurvedic therapies |
| Research Scientist | Research in Ayurvedic medicine |
| Wellness Consultant | Working in wellness centers |

9️⃣ **Higher Studies Options**
• MD Ayurveda  
• MS Ayurveda  
• PhD Ayurveda  
• MBA Hospital Management  

🔟 **Summary**
BAMS is ideal for students interested in traditional medicine and natural healing systems. Graduates can work as Ayurvedic doctors in hospitals, wellness centers, or open their own Ayurvedic clinic.",NEET Required Medical Courses|Become a Doctor or Healthcare Professional|Courses
btech_bhms,"BHMS (Bachelor of Homeopathic Medicine and Surgery) 💊|BHMS","1️⃣ **BHMS (Bachelor of Homeopathic Medicine and Surgery)** 💊

2️⃣ **Course Overview**
BHMS (Bachelor of Homeopathic Medicine and Surgery) is a 5.5-year undergraduate medical degree that focuses on homeopathy, a natural system of medicine that treats diseases using highly diluted substances.

Students learn about homeopathic remedies, disease diagnosis, natural healing methods, and patient care.

3️⃣ **Eligibility (12th Percentage Required)**
| Requirement | Details |
|---|---|
| Qualification | 12th Pass |
| Stream | Science (PCB – Physics, Chemistry, Biology) |
| Minimum Percentage | Usually 50% – 60% |
| Required Subjects | Physics, Chemistry, Biology |
| Entrance Exam | National Eligibility cum Entrance Test (NEET) |

4️⃣ **Course Duration**
| Course | Duration |
|---|---|
| BHMS | 5.5 Years |
| Internship | 1 Year (included) |

5️⃣ **Subjects / What You Will Study**
**Year 1**
• Anatomy  
• Physiology  
• Biochemistry  
• Homeopathic Pharmacy  

**Year 2**
• Pathology  
• Microbiology  
• Forensic Medicine  
• Homeopathic Materia Medica  

**Year 3**
• Surgery  
• Obstetrics and Gynecology  
• Practice of Medicine  
• Community Medicine  

**Final Year**
• Organon of Medicine  
• Homeopathic Therapeutics  
• Clinical Training  
• Case Taking and Analysis  

6️⃣ **Skills You Will Develop**
• Homeopathic diagnosis and treatment  
• Natural healing methods  
• Patient consultation and care  
• Medical analysis and case study  
• Communication and counseling skills  

7️⃣ **Top Colleges in Tamil Nadu**
• Government Homeopathic Medical College Tirumangalam  
• White Memorial Homoeo Medical College  
• Vinayaka Missions Homeopathic Medical College  

8️⃣ **Career Opportunities**
| Career | Description |
|---|---|
| Homeopathic Doctor | Treating patients using homeopathy |
| Medical Officer | Working in government hospitals |
| Researcher | Research in homeopathic medicine |
| Lecturer | Teaching in medical colleges |
| Private Practitioner | Running a homeopathy clinic |

9️⃣ **Higher Studies Options**
• MD Homeopathy  
• PhD Homeopathy  
• MBA Hospital Management  

🔟 **Summary**
BHMS is suitable for students interested in natural medicine and holistic healthcare. Graduates can work as homeopathic doctors in hospitals, clinics, or open their own practice.",NEET Required Medical Courses|Become a Doctor or Healthcare Professional|Courses
btech_bums,"BUMS (Bachelor of Unani Medicine and Surgery) 🌱|BUMS","1️⃣ **BUMS (Bachelor of Unani Medicine and Surgery)** 🌱

2️⃣ **Course Overview**
BUMS (Bachelor of Unani Medicine and Surgery) is a 5.5-year undergraduate medical course that focuses on Unani medicine, a traditional healing system based on natural remedies and lifestyle management.

Students learn about herbal medicines, natural therapies, disease diagnosis, and holistic treatment methods.

3️⃣ **Eligibility (12th Percentage Required)**
| Requirement | Details |
|---|---|
| Qualification | 12th Pass |
| Stream | Science (PCB – Physics, Chemistry, Biology) |
| Minimum Percentage | Usually 50% – 60% |
| Required Subjects | Physics, Chemistry, Biology |
| Entrance Exam | National Eligibility cum Entrance Test (NEET) |

4️⃣ **Course Duration**
| Course | Duration |
|---|---|
| BUMS | 5.5 Years |
| Internship | 1 Year (included) |

5️⃣ **Subjects / What You Will Study**
**Year 1**
• Arabic / Urdu Basics  
• Anatomy  
• Physiology  
• Principles of Unani Medicine  

**Year 2**
• Pharmacology  
• Pathology  
• Microbiology  
• Toxicology  

**Year 3**
• Surgery (Ilmul Jarahat)  
• Obstetrics and Gynecology  
• Preventive Medicine  

**Final Year**
• Unani Medicine Practice  
• Herbal Pharmacology  
• Clinical Training  
• Case Study and Diagnosis  

6️⃣ **Skills You Will Develop**
• Herbal medicine preparation  
• Natural disease treatment  
• Clinical diagnosis  
• Patient consultation  
• Traditional medical knowledge  

7️⃣ **Top Colleges in India**
• Government Unani Medical College Chennai  
• Aligarh Muslim University Faculty of Unani Medicine  
• Jamia Hamdard University  

8️⃣ **Career Opportunities**
| Career | Description |
|---|---|
| Unani Doctor | Treating patients using Unani medicine |
| Herbal Medicine Specialist | Developing herbal medicines |
| Research Scientist | Research in traditional medicine |
| Medical Officer | Working in hospitals |
| Wellness Consultant | Working in wellness centers |

9️⃣ **Higher Studies Options**
• MD Unani Medicine  
• PhD Unani Medicine  
• MBA Healthcare Management  

🔟 **Summary**
BUMS is suitable for students interested in traditional herbal medicine and holistic healthcare systems. Graduates can work in Unani hospitals, wellness centers, research institutions, or start their own clinic.",NEET Required Medical Courses|Become a Doctor or Healthcare Professional|Courses
btech_bsms,"BSMS (Bachelor of Siddha Medicine and Surgery) 🌿|BSMS","1️⃣ **BSMS (Bachelor of Siddha Medicine and Surgery)** 🌿

2️⃣ **Course Overview**
BSMS (Bachelor of Siddha Medicine and Surgery) is a 5.5-year undergraduate medical course that focuses on Siddha medicine, one of the oldest traditional medical systems in India, mainly practiced in Tamil Nadu.

Students learn about herbal medicines, natural healing methods, body balance, and traditional therapies used to treat various diseases.

3️⃣ **Eligibility (12th Percentage Required)**
| Requirement | Details |
|---|---|
| Qualification | 12th Pass |
| Stream | Science (PCB – Physics, Chemistry, Biology) |
| Minimum Percentage | Usually 50% – 60% |
| Required Subjects | Physics, Chemistry, Biology |
| Entrance Exam | National Eligibility cum Entrance Test (NEET) |

4️⃣ **Course Duration**
| Course | Duration |
|---|---|
| BSMS | 5.5 Years |
| Internship | 1 Year (included) |

5️⃣ **Subjects / What You Will Study**
**Year 1**
• Siddha Fundamentals  
• Anatomy  
• Physiology  
• Siddha Philosophy  

**Year 2**
• Medicinal Plants (Gunapadam)  
• Pharmacology  
• Pathology  
• Toxicology  

**Year 3**
• Siddha General Medicine  
• Surgery  
• Obstetrics and Gynecology  
• Pediatrics  

**Final Year**
• Siddha Clinical Practice  
• Herbal Medicine Preparation  
• Diagnostic Methods  
• Internship Training  

6️⃣ **Skills You Will Develop**
• Herbal medicine preparation  
• Natural disease treatment  
• Siddha diagnostic techniques  
• Patient care and counseling  
• Traditional medical knowledge  

7️⃣ **Top Colleges in Tamil Nadu**
• Government Siddha Medical College Chennai  
• National Institute of Siddha  
• Sri Sairam Siddha Medical College  

8️⃣ **Career Opportunities**
| Career | Description |
|---|---|
| Siddha Doctor | Treating patients using Siddha medicine |
| Herbal Medicine Specialist | Developing herbal medicines |
| Research Scientist | Research in traditional medicine |
| Medical Officer | Working in government hospitals |
| Wellness Consultant | Working in wellness centers |

9️⃣ **Higher Studies Options**
• MD Siddha  
• PhD Siddha Medicine  
• MBA Hospital Management  

🔟 **Summary**
BSMS is suitable for students interested in traditional Tamil medical systems and herbal medicine. Graduates can work as Siddha doctors in hospitals, wellness centers, research institutions, or open their own clinic.",NEET Required Medical Courses|Become a Doctor or Healthcare Professional|Courses
btech_bvsc,"B.V.Sc & AH (Bachelor of Veterinary Science and Animal Husbandry) 🐄|B.V.Sc & AH","1️⃣ **B.V.Sc & AH (Bachelor of Veterinary Science and Animal Husbandry)** 🐄

2️⃣ **Course Overview**
B.V.Sc & AH (Bachelor of Veterinary Science and Animal Husbandry) is a 5.5-year undergraduate medical course that focuses on animal healthcare, veterinary medicine, and animal disease treatment.

Students learn about animal anatomy, veterinary surgery, animal nutrition, and livestock management.

3️⃣ **Eligibility (12th Percentage Required)**
| Requirement | Details |
|---|---|
| Qualification | 12th Pass |
| Stream | Science (PCB – Physics, Chemistry, Biology) |
| Minimum Percentage | Usually 50% – 60% |
| Required Subjects | Physics, Chemistry, Biology |
| Entrance Exam | National Eligibility cum Entrance Test (NEET) |

4️⃣ **Course Duration**
| Course | Duration |
|---|---|
| B.V.Sc & AH | 5.5 Years |
| Internship | 1 Year (included) |

5️⃣ **Subjects / What You Will Study**
**Year 1**
• Veterinary Anatomy  
• Veterinary Physiology  
• Biochemistry  

**Year 2**
• Veterinary Pathology  
• Animal Nutrition  
• Genetics and Breeding  
• Pharmacology  

**Year 3**
• Veterinary Microbiology  
• Veterinary Surgery  
• Animal Reproduction  
• Livestock Production  

**Final Year**
• Veterinary Medicine  
• Animal Husbandry Management  
• Dairy Science  
• Clinical Training  

6️⃣ **Skills You Will Develop**
• Animal disease diagnosis  
• Veterinary surgery and treatment  
• Livestock management  
• Animal nutrition planning  
• Veterinary clinical practice  

7️⃣ **Top Colleges in Tamil Nadu**
• Tamil Nadu Veterinary and Animal Sciences University  
• Madras Veterinary College  
• Veterinary College and Research Institute Namakkal  

8️⃣ **Career Opportunities**
| Career | Description |
|---|---|
| Veterinary Doctor | Treating animals and pets |
| Livestock Officer | Managing animal farms |
| Veterinary Surgeon | Performing animal surgery |
| Research Scientist | Animal health research |
| Animal Welfare Officer | Working in animal protection organizations |

9️⃣ **Higher Studies Options**
• MVSc (Master of Veterinary Science)  
• PhD Veterinary Science  
• MBA Agribusiness  

🔟 **Summary**
B.V.Sc & AH is ideal for students interested in animal healthcare and veterinary medicine. Graduates can work in veterinary hospitals, animal farms, research institutions, or government animal health departments.",NEET Required Medical Courses|Become a Doctor or Healthcare Professional|Courses
btech_bpt,"BPT (Bachelor of Physiotherapy) 🦴|BPT","1️⃣ **BPT (Bachelor of Physiotherapy)** 🦴

2️⃣ **Course Overview**
BPT (Bachelor of Physiotherapy) is a 4.5-year undergraduate healthcare course that focuses on physical rehabilitation, movement therapy, and injury recovery.

Students learn about human body movement, exercise therapy, rehabilitation techniques, and treatment of physical injuries without surgery or medicines.

3️⃣ **Eligibility (12th Percentage Required)**
| Requirement | Details |
|---|---|
| Qualification | 12th Pass |
| Stream | Science (PCB – Physics, Chemistry, Biology) |
| Minimum Percentage | Usually 50% – 60% |
| Required Subjects | Physics, Chemistry, Biology |
| Entrance Exam | Some colleges may accept National Eligibility cum Entrance Test (NEET), but many admit based on 12th marks |

4️⃣ **Course Duration**
| Course | Duration |
|---|---|
| BPT | 4.5 Years |
| Internship | 6 Months (included) |

5️⃣ **Subjects / What You Will Study**
**Year 1**
• Human Anatomy  
• Physiology  
• Biochemistry  
• Basic Physiotherapy  

**Year 2**
• Exercise Therapy  
• Electrotherapy  
• Pathology  
• Pharmacology  

**Year 3**
• Orthopedic Physiotherapy  
• Neurological Physiotherapy  
• Community Rehabilitation  
• Clinical Training  

**Final Year**
• Sports Physiotherapy  
• Cardiopulmonary Physiotherapy  
• Rehabilitation Techniques  
• Internship Training  

6️⃣ **Skills You Will Develop**
• Physical rehabilitation techniques  
• Exercise therapy planning  
• Injury recovery treatment  
• Patient assessment and care  
• Movement and posture correction  

7️⃣ **Top Colleges in Tamil Nadu**
• SRM Institute of Science and Technology  
• Sri Ramachandra Institute of Higher Education and Research  
• Saveetha Institute of Medical and Technical Sciences  
• Meenakshi Academy of Higher Education and Research  

8️⃣ **Career Opportunities**
| Career | Description |
|---|---|
| Physiotherapist | Treating muscle and joint injuries |
| Sports Physiotherapist | Working with athletes |
| Rehabilitation Specialist | Helping patients recover from injuries |
| Clinical Physiotherapist | Working in hospitals |
| Fitness Consultant | Working in fitness centers |

9️⃣ **Higher Studies Options**
• MPT (Master of Physiotherapy)  
• MSc Rehabilitation Science  
• PhD Physiotherapy  
• MBA Hospital Management  

🔟 **Summary**
BPT is ideal for students interested in physical therapy, rehabilitation, and injury treatment. Graduates work in hospitals, rehabilitation centers, sports teams, and physiotherapy clinics.",NEET Required Medical Courses|Become a Doctor or Healthcare Professional|Courses
medical_healthcare_noneet,"Medical / Healthcare Courses (Usually Without NEET)","2️⃣ **Medical / Healthcare Courses (Usually Without NEET)**

• Bachelor of Occupational Therapy (BOT) 🦾  
• Bachelor of Science in Biotechnology 🧬  
• Bachelor of Technology in Biomedical Engineering ⚙️  
• Bachelor of Science in Microbiology 🔬  
• Bachelor of Science in Cardiac Technology ❤️  
• Bachelor of Respiratory Therapy 🫁  
• Bachelor in Psychology 🧠  
• Bachelor of Arts in Healthcare Management 🏥",Bachelor of Occupational Therapy (BOT) 🦾|Bachelor of Science in Biotechnology 🧬|Bachelor of Technology in Biomedical Engineering ⚙️|Bachelor of Science in Microbiology 🔬|Bachelor of Science in Cardiac Technology ❤️|Bachelor of Respiratory Therapy 🫁|Bachelor in Psychology 🧠|Bachelor of Arts in Healthcare Management 🏥
btech_bot,"Bachelor of Occupational Therapy (BOT) 🦾|BOT","1️⃣ **Bachelor of Occupational Therapy (BOT)** 🦾

2️⃣ **Course Overview**
Bachelor of Occupational Therapy (BOT) is a 4.5-year undergraduate healthcare course that focuses on helping people recover from physical, mental, or neurological disabilities through therapy and rehabilitation.

Students learn how to help patients improve daily life activities, motor skills, and independence after injuries, illness, or disabilities.

3️⃣ **Eligibility (12th Percentage Required)**
| Requirement | Details |
|---|---|
| Qualification | 12th Pass |
| Stream | Science (PCB – Physics, Chemistry, Biology) |
| Minimum Percentage | Usually 50% – 60% |
| Required Subjects | Physics, Chemistry, Biology |
| Entrance Exam | Usually No National Eligibility cum Entrance Test (NEET) required |

4️⃣ **Course Duration**
| Course | Duration |
|---|---|
| BOT | 4.5 Years |
| Internship | 6 Months (included) |

5️⃣ **Subjects / What You Will Study**
**Year 1**
• Human Anatomy  
• Physiology  
• Psychology  
• Biochemistry  

**Year 2**
• Occupational Therapy Basics  
• Pathology  
• Pharmacology  
• Kinesiology  

**Year 3**
• Rehabilitation Therapy  
• Pediatric Occupational Therapy  
• Neurological Therapy  
• Clinical Training  

**Final Year**
• Advanced Occupational Therapy  
• Community Rehabilitation  
• Assistive Technology  
• Internship Training  

6️⃣ **Skills You Will Develop**
• Rehabilitation therapy techniques  
• Patient care and counseling  
• Motor skill improvement methods  
• Disability management  
• Problem-solving and communication  

7️⃣ **Top Colleges in Tamil Nadu**
• SRM Institute of Science and Technology  
• Sri Ramachandra Institute of Higher Education and Research  
• Saveetha Institute of Medical and Technical Sciences  

8️⃣ **Career Opportunities**
| Career | Description |
|---|---|
| Occupational Therapist | Helping patients regain daily life skills |
| Rehabilitation Specialist | Working in recovery centers |
| Pediatric Therapist | Treating children with disabilities |
| Clinical Therapist | Working in hospitals |
| Community Health Worker | Supporting disabled individuals |

9️⃣ **Higher Studies Options**
• Master of Occupational Therapy (MOT)  
• MSc Rehabilitation Science  
• PhD Occupational Therapy  

🔟 **Summary**
BOT is ideal for students interested in rehabilitation and helping people recover from disabilities. Graduates work in hospitals, rehabilitation centers, special schools, and healthcare institutions.",Medical / Healthcare Courses (Usually Without NEET)|Become a Doctor or Healthcare Professional|Courses
